Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"ABC Company wants to rollout new product bundles with several pricing options. Pricing options include product-price bundles, account specific pricing and more.Which product satisfies the needs?",Multiple Choice,No,Yes,No,Yes,2,1,1,Custom AppExchange app for product-pricing.,1,Formula fields on Opportunity/Opportunity Product.,0,Lightning process builder.,0,Workflow on Opportunity/Opportunity Product.,0,,0,,0
"If ABC Company wants to refresh a sandbox weekly with some example data, which sandbox should ABC Company create?",Multiple Choice,No,Yes,No,Yes,2,1,1,Enterprise Sandbox,0,Developer Pro Sandbox,0,Partial Copy Sandbox,1,Full Sandbox,0,Developer Sandbox,0,,0
An admin is trying to add a custom VF page to the mobile app quick navigation menu but can't.What might be the problem?,Multiple Choice,No,Yes,No,Yes,2,1,1,Menu hasn't been configured for VF page.,0,VF page has fields that profile can't access.,0,VF page doesn't have a tab.,1,,0,,0,,0
What is a self-relationship?,Multiple Choice,No,Yes,No,Yes,2,1,1,A lookup field to the user object.,0,A lookup to the global search.,0,A relationship of account to opportunity owned by the same owner.,0,A lookup field to the same object.,1,,0,,0
You want to use an External Data Object Table from Heroku carrying Product Category information. The data need to be included in Salesforce and searchable.What do you have to do before you can use the connection? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"Choose ""Include as index field"".",0,"Choose ""Include in Salesforce searches"" option.",1,URL/choose the URL.,1,"Press ""Validate and sync"".",1,,0,,0
ABC Company want to store an area code and wants to be able to search for it in applications (apex).Which are possible fields to store the data? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Email,0,Phone,0,Text,1,Multi Picklist,0,Number,1,,0
How can an App Builder determine whether the features and customizations made in an org are Lightning-ready?,Multiple Choice,No,Yes,No,Yes,2,1,1,Launch the Lightning Experience Readiness Check from All Setup.,1,Download the Lightning Experience Audit Tool from AppExchange.,0,Use the Lightning Experience Readiness Toolkit in Workbench.,0,Implement the salesforce Lightning Design System in a sandbox.,0,,0,,0
A developer has completed work in the sandbox and is ready to send it to a related org.What deployment tool should be used?,Multiple Choice,No,Yes,No,Yes,2,1,1,Force.com IDE,0,Changes Sets,1,Unmanaged Packages,0,Force.com Migration Tool,0,,0,,0
A salesperson at AW Computing only sees the Social Contacts link for Twitter and not Facebook on his records.Why would this be happening?,Multiple Choice,No,Yes,No,Yes,2,1,1,None of his Facebook contacts have confirmed the nature of their relationship.,0,The administrator hasn't enabled Social Contacts for Facebook.,0,The salespersons login with Facebook has expired.,0,Facebook is no longer supported by Social Contacts.,1,,0,,0
Field type conversion.Which of the following are true? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Data can be lost when converting from auto-number to text.,1,Data can be lost converting from number to currency (assuming that field lengths are identical).,1,Data can be lost when converting from simple picklist to multi picklist.,0,Information can be lost when converting from text area (rich) to text area (long).,0,,0,,0
What are the three different custom tabs you can create? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Custom Object Tab,1,Visualforce Tab,1,Standard Object Tab,0,Web Tab,1,APEX Tab,0,,0
Two custom objects exist with a Master-Detail relationship. Your company now needs to count and display the number of child objects associated with the parent.Which feature can best satisfy this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Formula Fields,0,Lightning Process Builder,0,Visual Flow,0,Roll-up Summary Field,1,,0,,0
Identify the standard Lightning components. (Choose four.),Multiple Choice,No,Yes,No,Yes,2,4,4,List View,1,Rich Text,1,Visualforce Page,1,Reports,1,Dashboards,0,,0
Which social network is available in the Lightning Experience and Salesforce1?,Multiple Choice,No,Yes,No,Yes,2,1,1,LinkedIn,0,Klout,0,Facebook,0,Twitter,1,All of the above,0,,0
Which two features should be used to allow users to access Flows? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Custom Button,1,Quick Action,1,Flow Launcher,0,Invoked by a Process.,0,,0,,0
Universal Containers wants to understand return on investment for the latest advertising buy. They currently use a private security model for all objects.What should an app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Utilize Account Hierarchies and Roll-Up Summary fields,0,Configure Campaign Hierarchies and Campaign statistics,0,Run an opportunities pipeline report,1,Change to a public security model,0,,0,,0
An app builder wants to deploy a new version of an auto launched flow to production in an active state so that the new functionality is immediately available to users.What should the app builder take into consideration when planning the deployment?,Multiple Choice,No,Yes,No,Yes,2,1,1,Include the Process Builder calling the Flow in the deployment,0,Verify there is a static resource that provides test coverage for the Flow,0,Verify there is an Apex test that provides test coverage for the Flow,1,Include the profiles that access the flow in the deployment,0,,0,,0
"At Universal Containers, all US Sales Reps should be able to view the US Team Dashboard. However, only the US Sales Directors should be able to see the data in the component and view its source report.How can an app builder ensure the proper access is granted?",Multiple Choice,No,Yes,No,Yes,2,1,1,Share the dashboard folder with roles and subordinates of the US Sales Director and share the report folder with the role of US Sales Director,1,Make the US Sales Director the running user and share the dashboard folder with the role US Sales Rep,0,Share the dashboard with the Public Group US Sales Reps and share the dashboard source reports folder with the US Sales Director profile,0,Make the dashboard dynamic and give US Sales Reps the View My Team's Dashboard permission,0,,0,,0
"At Universal Containers, each admin and developer use a separate developer pro sandbox. Configuration and code are then migrated to a partial data sandbox for combination and initial testing. Once approved the configuration and code are then migrated to a full sandbox for final load and regression testing before going to production.When should the full sandbox be refreshed?",Multiple Choice,No,Yes,No,Yes,2,1,1,After each major release to production,1,After each push from the partial data sandbox,0,After a new user is added to production,0,After user acceptance testing is complete,0,,0,,0
"Universal Containers uses a custom object called Projects. When managers assign projects they set a custom field on the Project record called Estimated Hours.Once set, users should be able to decrease but not increase the value.How can an app builder meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a validation rule that uses the PRIORVALUE function,1,Create a process builder to update the record type,0,Create a formula field that uses the PREVGROUPVAL function,0,Create a formula default value for the custom field,0,,0,,0
Universal Containers allows all employees to submit reviews for leadership using a custom object. These reviews should only be visible to the HR department and the employee who submitted the review.Which three steps should an app builder take to properly control access to review records? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Remove review read permission from non-HR Department user Profiles,0,Add a Master-Detail(User) field on the Review object,0,Set Org Wide Default to Private,1,Disable Grant Access Using Hierarchies,1,Create a criteria-based Sharing Rule for the HR Department,1,,0
Universal Containers require different fields to be filled out at each stage of the Opportunity sales process.What configuration steps can an app builder use to meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Define record types and page layouts for each stage,0,Set page layout required fields based on the current stage,0,Create a Process Builder to prompt the User for field information,0,Add the Path component to the Lightning record page,1,,0,,0
"The case handling process at Universal Containers includes multiple steps including approvals, notifications, and fields updates. To manage and evaluate all of these changes in a single save operation, an app builder wants to use Process Builder and the Advanced option to let the process evaluate a record multiple times has been selected.What option should the App Builder avoid to prevent recursion?",Multiple Choice,No,Yes,No,Yes,2,1,1,The ISCHANGED function,0,Invocable processes,0,IF statements,0,Setting a criteria node to No criteria-just execute the procedure,1,,0,,0
Sales Managers want to be automatically notified any time there is a change to an Opportunity Close Date and want these changes to be tracked on theOpportunity.Which two configurations should an app builder recommend? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Activate Historical Trending for Opportunities,0,Use Process Builder on Opportunities and a Chatter post action,1,Create an Opportunity outbound message,0,Enable Feed Tracking on Opportunities,1,,0,,0
"Universal Containers has two types of applicants, hourly and salary. There are separate record types for each. While all members of the human resource department need to be able to view all applicant records, only the hiring manager and VP of HR should be able to create salary applicant records.What should the app builder recommend to meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,Configure the hourly record type as the default and instruct non-management users to accept the default record type.,0,Create a permission set containing the salary record type and assign it to the appropriate users.,1,Remove ג€createג€ permission for the salary applicant object for everyone except the manager and VP.,0,Update the org-wide default to private and create a sharing rule for the role of recruiting manager.,0,,0,,0
How should an app builder configure access to a contact's Twitter profile for Salesforce mobile app users?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add the Twitter component to mobile view Lightning pages,1,Add a Twitter Quick Action to the mobile navigation,0,Add an AppExchange Lightning Component to the mobile app,0,Add a formula field to the Contact page layout,0,,0,,0
Universal Containers (UC) wants to deliver purchased containers to remote construction sites. These locations are missing a traditional street address. In these cases the customer will supply UC with the coordinates to the location.What type of field should the app builder use to capture this information?,Multiple Choice,No,Yes,No,Yes,2,1,1,Geolocation,1,Number,0,Text,0,External Lookup,0,,0,,0
Universal Containers wants to display the real-time stock price for each Account on the Account record page.How should an app builder implement this request?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add a Dynamic Report to the page layout,0,Install a solution from the AppExchange,1,Build a Visual Flow that uses API calls,0,Create a Lightning Web Component,0,,0,,0
Universal Containers (UC) wants to build a Recruiting app that allows for multiple Positions to appear on custom objects Websites and Postings. UC requires a report that shows the related custom objects of Postings.Which two items should an app builder configure to implement this? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Create two new Custom Report Types,1,Configure a Postings object with Lookup field to both Positions and Websites,0,Configure a Postings object with Master-Detail field to both Positions and Websites,1,Utilize the Standard Report Types,0,,0,,0
A new field has been added to the Applicant object. A recruiter ran the `˜Position with or without Applicants' report and noticed that the new field was missing as an option to add as a column.How should an app builder troubleshoot this issue?,Multiple Choice,No,Yes,No,Yes,2,1,1,Check ג€Allow Reportsג€ for the position and applicant objects,0,Adjust the field level security to include in the report type,0,Add the field to the custom report type field layout,1,Update the profile with the ג€Manage Public Reportsג€ permission,0,,0,,0
"When an opportunity is closed date is pushed more than 30 days, manager approval is required. An approval process is in place but reps frequently forget to submit for approval to run the process.How can an app builder ensure that these opportunities are submitted into the approval process?",Multiple Choice,No,Yes,No,Yes,2,1,1,Use a validation rule and an email alert to the manager requesting approval,0,Change the entry criteria on the approval process to criteria are met and lock the record on initial submission,0,Give the manager the ג€API Enabledג€ permission to permit approval responses by email,0,Submit the record for approval from an automated process,1,,0,,0
"Universal Containers generates leads from three different sources: web, trade shows, and partners. Some of the information collected is applicable to all sources, there is also information that is unique to each type of lead.What should an app builder configure to meet these requirements?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create three sections on the lead layout and instruct users to collapse the non-relevant fields,0,Create a partner community and a record type for web and trade show leads,0,Create custom page layouts for each type of lead only containing the relevant fields,0,Create three lead record types each with its own page layout containing the relevant fields,1,,0,,0
Universal Containers created a custom object called Component to capture details about products sold.What approach should an app builder take to show Component as a related list on Product?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a master-detail relationship on Product to Component. Add the Component related list to the Product page layout,0,Create a lookup relationship on Component to Product. Add the Component related list to the Product page layout,1,Create a junction object to relate Component and Product. Add the Component related list to the Product page layout,0,Create a roll-up on Product. Add the Component related list to the Product page layout,0,,0,,0
Universal Containers wants to track installation information once a container has been purchased on a custom object. Sales reps should have visibility of all the installations associated with their opportunities.What kind of relationship should this new object have to the Opportunity?,Multiple Choice,No,Yes,No,Yes,2,1,1,Master-Detail,1,Many to Many,0,Lookup,0,Hierarchical,0,,0,,0
Universal Containers wants to ensure that they are accepting clean data from their users and verify that important fields are entered.What should an app builder recommend to meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Make a formula field to check the format of the important fields,0,Update the important fields to be required on the page layout,0,Create a workflow rule to check the fields are formatted correctly,0,Configure a validation to require a field for a specific record type,1,,0,,0
What are two reasons to create an unmanaged package? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Distributing upgradeable components to other Salesforce orgs,0,Deploying from a Developer Edition environment,1,Publishing an application for sale on the AppExchange,0,Distributing open-source projects on the AppExchange,1,,0,,0
An app builder has created a custom Lightning App and wants to make it available to the internal users at Universal Containers.Which two steps are necessary to accomplish this task? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Build a Custom Tab for the app,1,Create a subdomain using My Domain,1,Upload the app to Static Resources,0,Create a Visualforce page,0,,0,,0
Universal Containers uses a private sharing model on Accounts. User A and User B both own Accounts of their own and have both been sent a new Account record in an email owned by User C to take a look at. User A is able to open and view the record but User B receives an insufficient privileges error. User A andUser B have the same role in the Role Hierarchy as User C.What are the three reasons User A has access but User B is unable to access the record? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,User A is in a Public Group that has access via a Sharing Rule,1,User A and User B have different profiles,0,User A is on the same Account Team as User C,1,User C has manually shared the record with User A,1,User A was granted an additional permission set,0,,0
Universal Containers uses a custom object called Reviews to capture information generated by interviewers during the candidate process. The Review records are visible to any user that has access to the related custom Candidate record. The VP of Human Resources wants the comment field on the Review to be private to anyone outside of the HR department.How should the app builder meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a page layout with the field for HR users and another page layout without the field for all other users,0,Create an Apex sharing rule to share the field with users that have ג€HRג€ in their role,0,Create a sharing rule to share the field with the VP of HR with Role and Subordinates,0,Create a page layout with the field and use field-level security to hide the field from all other users,1,,0,,0
Which feature should an app builder use to ensure that new Leads are automatically sent to the appropriate Sales Rep?,Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow Rules,0,Visual Flow,0,Lead Assignment Rules,1,Lead Convert,0,,0,,0
Accounts at Universal Containers are currently readable by all users but editable only by their owners. Management wants to designate some Accounts as VIPAccounts. Only Account owners should have read access to these VIP accounts.What two actions should an app builder take to meet the requirements? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Implement a sharing rule,1,Change Organization-wide Defaults,1,Set up an Account Team,0,Configure a permission set,0,,0,,0
An app builder has been asked to display an Overdue Date that is two months after a Task's Due Date.Which approach should the app builder take?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a formula field using the ADDMONTHS() function,1,Use Process Builder and set Overdue Date equal to DueDate + 60,0,Create a formula field using DueDate + 60,0,Use Process Builder and set Overdue Date equal to DueDate + ((365/12) * 2),0,,0,,0
The VP of Sales wants a Chatter post to the All Sales private group when an Opportunity goes to the closed won stage.What two tools should the app builder use to automate this process? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Process Builder,1,Big Deal Alert,0,Workflow,0,Flow,1,,0,,0
Universal Containers implemented an application process that uses custom objects Internships and Applications. The organization-wide default for Internships has been set to private and is the master in the master-detail relationship with Applications. The VP of HR wants to allow edit access to Applications to recruiters.How should an app builder configure the proper access?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create a sharing rule that grants the users Read/Write access to the Application records,0,Create a queue for the web applications and assign access to the users who will be editing the records,0,Add a sharing rule that grants the users Read/Write access to the Internship records,1,Set the organization-wide default on the Applications object to Read/Write,0,,0,,0
Managers at Universal Containers want a quick way to create additional accounts to form a hierarchy from a parent account record. They want to auto-populate five fields based on the parent to make it easier for users to create the child accounts quickly.What should the app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Custom Global Quick Action,0,Custom Button on Account,0,Custom Action on Account,1,Custom Link on Account,0,,0,,0
"A customer service representative at Cloud Kicks wants to be able to collect information from customers using a series of question prompts. Once the questions are completed, an email should be sent to the customer with a feedback form.What should be used to accomplish this?",Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Flow,1,Process Builder,0,Apex Trigger,0,Einstein Next Best Action,0,,0,,0
"The Service Manager would like to highlight case age. When a case is new, they would like to see a green flag on the case record. The flag should be yellow if the case is still open after one day. The flag should be red when cases are open after three days.Which two options should an app builder use to implement this requirement? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Formula Field,1,IMAGE,1,VLOOKUP,0,Quick Action,0,,0,,0
Sales reps at Universal Containers use Salesforce on their mobile devices. They want a way to add new contacts quickly and then follow up later to complete the additional information necessary.What mobile solution should an app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Use Path and set pre-defined values.,0,Add a compact layout to Contacts.,0,Build a global action to create Contacts.,1,Customize the mobile menu to move Contacts to the top.,0,,0,,0
Which two standard Lightning page components are available in the Lightning App Builder? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Highlights Panel,1,Accordion,1,Quick Text,0,Path,0,,0,,0
Universal Containers has created two custom objects called Seminars and Attendees. Organization-wide defaults for these objects have been set to Private.Universal Containers wants to set up a new junction object between these custom objects. A select group of users should be able to edit records in the junction object.Which two steps should an app builder take to configure the proper security? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Set Sharing Settings to Read Only on both Master-Detail relationship fields.,0,Create owner-based sharing rules that give Read access to the master objects.,1,Create an owner-based sharing rule that gives Read access to the junction object.,0,Set lookup filters on both junction object relationship fields.,1,,0,,0
"Users at Cloud Kicks provided feedback that the time card custom page layout has too many fields on it, and some fields are only needed if other fields are entered.What should an app builder configure to help with this issue?",Multiple Choice,No,Yes,No,Yes,2,1,1,Separate page layouts,0,Dependent picklists,0,Dynamic forms,1,Lightning web components,0,,0,,0
"Universal Containers (UC) has 20 different workflows on the Opportunity object. To ensure that updates are processing properly for all field updates; UC has the`Re-evaluate Workflow Rules After Field Change` checkbox checked. Recently after adding a new workflow, users have reported receiving errors about workflow limits.What should an app builder look at to address this issue?",Multiple Choice,No,Yes,No,Yes,2,1,1,Number of workflows per object limits,0,Talk to a developer about Apex code issues,0,Workflows that cause each other to fire back and forth recursively,1,Workflows on other objects that are being re-triggered,0,,0,,0
Universal Containers (UC) has several large customers that sell their products through dealers. Each customer and dealer has an individual rep who works directly with UC and each is billed separately.How should an app builder implement these requirements?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Create both customer and dealer as accounts, create account teams on each account and associate the dealer records with the parent account.",0,"Create a single parent record, add each rep as a contact to the parent account and add each dealer as a child record.",0,"Create both customer and dealer as accounts, add each rep as a contact on the corresponding account and create an account hierarchy.",1,"Create a single account record, add each rep as a contact and create a custom dealer object.",0,,0,,0
An app builder creates an Account validation rule on the Industry field that will throw an error if the length of the field is longer than 6 characters. Another app builder creates a workflow rule with a field update that sets the industry field to technology whenever the billing city field is set to San Francisco.What will happen the next time a sales person saves an Account with a billing city of San Francisco?,Multiple Choice,No,Yes,No,Yes,2,1,1,The record will NOT save and the validation rule's error message will be displayed.,0,The record will save but the industry field will NOT change to technology.,0,The record will save and the industry field will change to technology.,1,The record will NOT save and the error message will NOT be displayed.,0,,0,,0
Universal Containers (UC) requires that all users specify a contract is sent on each Opportunity prior to marking it as `Closed Won`. UC wants to be able to report on how many Opportunities have sent Contracts compared to how many have a missing contract when the Opportunities closed.What type of field should an app builder configure to fulfill this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Text Area,0,Picklist,0,Checkbox,1,Text,0,,0,,0
"A production org includes custom objects containing confidential information. A sandbox is needed that includes data records, excludes all of the confidential objects, and can be refreshed weekly.What steps should an app builder take to meet these requirements?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a Developer Sandbox and schedule Data Loader to download selected object data weekly.,0,Create a Partial Copy Sandbox and use a sandbox template.,1,Create a Full Sandbox and use a sandbox template.,0,Create a Developer Pro Sandbox and schedule Data Loader to download selected object data weekly.,0,,0,,0
"The VP of Sales at Cloud Kicks wants to have a set of screens to guide the inside sales team through collecting and updating data for leads. Once the leads are updated, the leads should be entered into a marketing journey activated by the sales rep checking the marketing checkbox.How should the app builder accomplish this?",Multiple Choice,No,Yes,No,Yes,2,1,1,Lighting Flow,1,Path,0,Process Builder,0,Workflow,0,,0,,0
The convert button on Leads should NOT appear until the Lead Status picklist is set to Qualified.What should an app builder suggest to meet these requirements?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Picklist dependency, page layouts, record types",0,"Process Builder field update, quick action, record type",0,"Page layouts, record types, Process Builder field update",1,"Custom button, validation rule, record types",0,,0,,0
"Representatives at Cloud Kicks use Salesforce to record information for new Leads. When new prospects are added, an outbound message is sent to the data warehouse with the Lead's information.What automation tool should an app builder use to meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,Design an approval process that sends an outbound message.,0,Create a workflow rule with an outbound message as the action.,0,Create a process using Process Builder to send an outbound message.,0,Use Lightning Flow to send an outbound message.,1,,0,,0
Duplicate management for Leads has been implemented at Universal Containers but it seems duplicate leads are still being created.The Org Wide Default (OWD) is set to `Private` for Leads.Which two actions help prevent duplicate Leads from being created? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Change the Lead Matching Rule to Block on Create.,1,Change the Lead Duplicate Rule details to Bypass Sharing Rules.,1,Change OWD for Leads to Public Read.,0,Change OWD for Leads to Public Edit.,0,,0,,0
"Cloud Kicks (CK) has increased its Salesforce development efforts so that it now has multiple custom development efforts happening in parallel. CK’s developers and admins perform the customizations and have complained that working in one sandbox has led to many problems. They have requested a solution in which they can work in at least 20 different sandboxes at once, that all start with the same base configuration and data.What should an app builder utilize to solve the problem?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial Copy Sandboxes,0,Sandbox Refreshes,0,Sandbox Cloning,1,Full Copy Sandboxes,0,,0,,0
Universal Containers is migrating its sales operations from a legacy system that was used in Europe. Opportunities need to be imported with the proper country currency.Which two steps should an app builder configure to meet these requirements? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Include the Currency ISO code in all currency fields in the import file.,0,Use Data Loader to import the records.,1,Include the Currency ISO Code Column in the import file.,1,Use Import Wizard to import the records.,0,,0,,0
Cloud Kicks wants to set up a new opportunity approval process and execute various action items based on the initial submission.Which three action types should an app builder use in the approval process? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Email Alert,1,Task,1,Outbound Message,1,Invocable Flow,0,Invocable Process Builder,0,,0
Universal Containers wants to provide users with a process to create Opportunity records related to an Account. Many fields can be populated based on theAccount record. Some fields require input from the user.What should an app builder configure to meet the requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Process Builder triggered from Opportunity update,0,Process Builder triggered from Account update,0,Quick Action on the Account object,1,Quick Action on the Opportunity object,0,,0,,0
"Universal Containers (UC) has large data volumes and is nearing data storage limits. The planned solution is to archive historical data to reduce data storage inSalesforce; however, UC would still like to use reports, queries, and lookups on the archived information.Which two options could meet this requirement? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Custom objects,0,External objects,1,Big objects,1,Related objects,0,,0,,0
Cloud Kicks has a sales rep who is stating that their Contact is unavailable for other users to see within Salesforce.In which three ways can an app builder troubleshoot this issue? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Review the Contact record and ensure it is linked to an Account.,1,Create an Account Sharing Rule to give the users access to all records.,0,Create a new Contact and have the users try again.,0,Confirm whether Default Organization-Wide Sharing Settings provide access to the Account.,1,Verify the users with the issue have access to the Contact object.,1,,0
An app builder is tasked with adding key performance indicators on client pages. They want to see a summary of the number of open Opportunities and the number of won Opportunities for each Account.Where should the app builder go to build these new rollups?,Multiple Choice,No,Yes,No,Yes,2,1,1,Opportunity Object,0,Lightning Object Creator,0,Lightning App Builder,0,Account Object,1,,0,,0
DreamHouse Realty (DR) employees started using company-owned airplanes for work travel after Ursa Major Solar was acquired. DR executives want to automate the submission travel request forms to enforce the internal policy.How should an app builder automate travel request based on these criteria?,Multiple Choice,No,Yes,No,Yes,2,1,1,Process Builder,0,Approval process,1,Workflow rule,0,Apex,0,,0,,0
Service Agents are required to confirm a user's identity before providing support information over the phone.What feature can an app builder use to help agents meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add Path to the top of the Case layout.,0,Include Surveys as a Case related list.,0,Guided Action Flows on the record page.,1,Case Validation Rules.,0,,0,,0
Which two solutions prevent a formula field from being referenced by a Roll-Up Summary field? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,A cross-object workflow updating a field referenced by the formula field,0,A cross-object field reference in the formula field,1,The CASE() function in the formula field,0,The NOW() function in the formula field,1,,0,,0
Which two field types can be referenced by a Roll-Up Summary field using MIN or MAX? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Checkbox,0,Percent,1,Date/time,1,Formula,0,,0,,0
An app builder needs to create new automation on an object.What best practice should the app builder follow when building out automation?,Multiple Choice,No,Yes,No,Yes,2,1,1,One Workflow rule per object.,0,One invocable process per object.,0,One record change process per object.,1,One Flow per object.,0,,0,,0
What should an app builder do to upgrade an unmanaged package that has been installed into production?,Multiple Choice,No,Yes,No,Yes,2,1,1,Install the new version to a Developer org then deploy to production.,0,Uninstall the current version and install the new version.,1,Click the update link on the Installed Packages page.,0,Install the new version in a sandbox then deploy to production.,0,,0,,0
"The developer at Universal Containers wants to test code in a sandbox environment. In order to ensure the code works properly, the sandbox needs to have at least half a gigabyte of data. The sandbox will need to be refreshed after each three-day sprint.What type of sandbox should the App Builder provision to the developer?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial Data,0,Full Copy,0,Developer,0,Developer Pro,1,,0,,0
"An app builder has modified a Lightning record page for a case and has added an email button item to the page layout; however, users are unable to see the new item on the layout.What are two potential reasons why users are unable to view the item on the Case Lightning record page? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,The email button contains JavaScript.,1,The page layout excludes the case feed component.,1,The page layout includes the case feed component.,0,The case page layout also contains custom buttons.,0,,0,,0
Ursa Major Solar want to see the Type field from the parent object Galaxy listed on the child record Star. The app builder is receiving an error stating `Picklist values are only supported in certain functions`.What formula should an app builder use to achieve the desired result?,Multiple Choice,No,Yes,No,Yes,2,1,1,TEXT(Galaxy__r.Type__c),1,VALUE(Galaxy__r.Type__c),0,ISPICKVAL(Galaxy__r.Type__c),0,FIND(Galaxy__r.Type__c),0,,0,,0
Ursa Major Solar wants to convert the relationship between Galaxy and Star from a lookup relationship to a master-detail relationship so each Galaxy record can be equipped with a roll-up summary count of Star records.Which two considerations should be made? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The Star object has fewer than two existing master-detail relationships.,1,The Galaxy object is required to contain existing roll-up summary fields.,0,The Galaxy object has fewer than two existing master-detail relationships.,0,The Star records are all required to have an existing value in their Galaxy field.,1,,0,,0
The appraisal team at DreamHouse Realty wants to leverage Salesforce mobile app.What are three things an app builder should do to optimize mobile experience? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Put the most important fields in the compact layout so they are easy to find.,1,Create individual customized layouts for different phone operating systems.,0,Minimize the amount of formula fields and lookup fields to reduce page load time.,1,Avoid using default fields values so that the user is required to fill in all fields on the screen.,0,Use Global Actions to make it easy to perform vital functionality on mobile.,1,,0
Universal Containers allows users to create standard reports on demand.Which three considerations users should be aware of when creating a new report? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Charts can be added to summary reports to provide a visualization.,1,Users can require that child objects exist for parent records using a cross filter.,0,Records will be available in the report regardless of security permissions.,1,The report type determines the types of records and fields that will be available.,1,Users will need to add the report to a shared folder for other users to see it.,0,,0
"DreamHouse Realty is rethinking its sandbox utilization strategy after acquiring Cloud Kicks. The Salesforce COE already utilizes a partial and a full sandbox, which it refreshes on their own regular schedules. Teams are expanding and have to begin each of their small projects in a sandbox before committing to the larger pool for collaborative testing while still keeping costs down.What type of sandbox should each team member use?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial sandbox,0,Full sandbox,0,Developer sandbox,1,Developer pro sandbox,0,,0,,0
Managers at Universal Containers want a quick way to create additional accounts to form a hierarchy from a parent account record. They want to auto-populate five fields based on the parent to make it easier for users to create the child accounts quickly.What should the app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Custom Global Quick Action,0,Create a custom action,1,Add Path on Account hierarchy,0,Add a custom Link on Account,0,,0,,0
Ursa Major Solar has made a great app that leadership wants to share with the world for free via AppExchange.What should an app builder consider about the type of package when uploading to AppExchange?,Multiple Choice,No,Yes,No,Yes,2,1,1,Unmanaged packages allow for patches on programmatic changes but not Apex.,0,Managed packages provide intellectual property protection on Apex code.,1,Managed packages need a per-user charge on AppExchange.,0,Unmanaged packages can be set up to prevent user customizations.,0,,0,,0
